Date : 2024-03-10 15:30:33
Directory : c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main
Total : 142 files,  13503 codes, -17 comments, -224 blanks, all 13262 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     13,822 |          2 |          3 |     13,827 |
| TypeScript         |         51 |      1,894 |         53 |        251 |      2,198 |
| CSS                |         15 |        608 |          2 |        129 |        739 |
| HTML               |         15 |        440 |         15 |         24 |        479 |
| JSON with Comments |          1 |         32 |          1 |          0 |         33 |
| Markdown           |          1 |         14 |          0 |         14 |         28 |
| JavaScript         |          2 |        -19 |          0 |        -11 |        -30 |
| Java Properties    |          1 |        -22 |        -10 |         -3 |        -35 |
| Java               |         50 |     -3,266 |        -80 |       -631 |     -3,977 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |        142 |     13,503 |        -17 |       -224 |     13,262 |
| ..                                                                                                                                     |         53 |     -3,340 |        -90 |       -645 |     -4,075 |
| ..\..                                                                                                                                  |         53 |     -3,340 |        -90 |       -645 |     -4,075 |
| ..\..\..                                                                                                                               |         53 |     -3,340 |        -90 |       -645 |     -4,075 |
| ..\..\..\HAPPYLONELY-BACKEND                                                                                                           |         53 |     -3,340 |        -90 |       -645 |     -4,075 |
| ..\..\..\HAPPYLONELY-BACKEND\src                                                                                                       |         53 |     -3,340 |        -90 |       -645 |     -4,075 |
| ..\..\..\HAPPYLONELY-BACKEND\src\main                                                                                                  |         53 |     -3,340 |        -90 |       -645 |     -4,075 |
| ..\..\..\HAPPYLONELY-BACKEND\src\main\java                                                                                             |         50 |     -3,266 |        -80 |       -631 |     -3,977 |
| ..\..\..\HAPPYLONELY-BACKEND\src\main\java\ly                                                                                          |         50 |     -3,266 |        -80 |       -631 |     -3,977 |
| ..\..\..\HAPPYLONELY-BACKEND\src\main\java\ly\happylone                                                                                |         50 |     -3,266 |        -80 |       -631 |     -3,977 |
| ..\..\..\HAPPYLONELY-BACKEND\src\main\java\ly\happylone (Files)                                                                        |          1 |        -11 |          0 |         -5 |        -16 |
| ..\..\..\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\component                                                                      |          8 |     -1,771 |        -31 |       -193 |     -1,995 |
| ..\..\..\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\config                                                                         |          5 |       -271 |        -21 |        -50 |       -342 |
| ..\..\..\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\controller                                                                     |         10 |       -603 |        -16 |       -123 |       -742 |
| ..\..\..\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\model                                                                          |         18 |       -476 |         -2 |       -161 |       -639 |
| ..\..\..\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\service                                                                        |          8 |       -134 |        -10 |        -99 |       -243 |
| ..\..\..\HAPPYLONELY-BACKEND\src\main\resources                                                                                        |          3 |        -74 |        -10 |        -14 |        -98 |
| frontend                                                                                                                               |         89 |     16,843 |         73 |        421 |     17,337 |
| frontend (Files)                                                                                                                       |          8 |     13,901 |          3 |         17 |     13,921 |
| frontend\src                                                                                                                           |         81 |      2,942 |         70 |        404 |      3,416 |
| frontend\src (Files)                                                                                                                   |          5 |         60 |          2 |         28 |         90 |
| frontend\src\app                                                                                                                       |         76 |      2,882 |         68 |        376 |      3,326 |
| frontend\src\app (Files)                                                                                                               |          8 |        205 |          1 |         25 |        231 |
| frontend\src\app\admin                                                                                                                 |          4 |        308 |          0 |         24 |        332 |
| frontend\src\app\art                                                                                                                   |          4 |        198 |          0 |         19 |        217 |
| frontend\src\app\common                                                                                                                |          3 |        123 |          0 |         17 |        140 |
| frontend\src\app\common\service                                                                                                        |          3 |        123 |          0 |         17 |        140 |
| frontend\src\app\email                                                                                                                 |          6 |         56 |          0 |         14 |         70 |
| frontend\src\app\environments                                                                                                          |          1 |          4 |          0 |          0 |          4 |
| frontend\src\app\header                                                                                                                |          4 |        102 |          0 |         16 |        118 |
| frontend\src\app\home                                                                                                                  |          8 |        568 |         55 |         79 |        702 |
| frontend\src\app\login                                                                                                                 |          5 |        158 |          1 |         19 |        178 |
| frontend\src\app\register                                                                                                              |          5 |        176 |          0 |         22 |        198 |
| frontend\src\app\shop                                                                                                                  |          7 |        258 |          1 |         42 |        301 |
| frontend\src\app\shop (Files)                                                                                                          |          4 |        209 |          1 |         30 |        240 |
| frontend\src\app\shop\objects                                                                                                          |          1 |          9 |          0 |          0 |          9 |
| frontend\src\app\shop\product                                                                                                          |          2 |         40 |          0 |         12 |         52 |
| frontend\src\app\thread-create                                                                                                         |          4 |        124 |          2 |         19 |        145 |
| frontend\src\app\thread-detail                                                                                                         |          4 |        224 |          0 |         26 |        250 |
| frontend\src\app\thread-list                                                                                                           |          4 |        150 |          0 |         24 |        174 |
| frontend\src\app\user                                                                                                                  |          4 |        119 |          4 |         12 |        135 |
| frontend\src\app\youtube-dl                                                                                                            |          5 |        109 |          4 |         18 |        131 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\Application.java                              | Java               |        -11 |          0 |         -5 |        -16 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\component\ArtServiceImpl.java                 | Java               |        -58 |         -1 |         -9 |        -68 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\component\CustomAuthentication.java           | Java               |        -15 |          0 |         -5 |        -20 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\component\CustomContentDeserializer.java      | Java               |        -21 |          0 |         -5 |        -26 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\component\DatabaseServiceImpl.java            | Java               |     -1,416 |        -24 |       -121 |     -1,561 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\component\HLPlayerServiceImpl.java            | Java               |        -21 |          0 |         -8 |        -29 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\component\JwtServiceImpl.java                 | Java               |        -35 |         -2 |         -8 |        -45 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\component\MessageServiceImpl.java             | Java               |       -137 |         -4 |        -25 |       -166 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\component\ProductServiceImpl.java             | Java               |        -68 |          0 |        -12 |        -80 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\config\JWTAuthenticationFilter.java           | Java               |        -55 |          0 |         -7 |        -62 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\config\MailConfig.java                        | Java               |        -26 |          0 |         -8 |        -34 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\config\MvcConfig.java                         | Java               |        -22 |        -11 |         -5 |        -38 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\config\SecurityConfig.java                    | Java               |       -101 |         -5 |        -18 |       -124 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\config\WebSocketConfig.java                   | Java               |        -67 |         -5 |        -12 |        -84 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\controller\ArtController.java                 | Java               |        -84 |         -4 |        -19 |       -107 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-BACKEND\src\main\java\ly\happylone\controller\ChatController.java                | Java               |        -37 |          0 |        -10 |        -47 |
