"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 18
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 14, 28
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\angular.json", "JSON", 118, 0, 0, 0, 0, 0, 0, 0, 0, 118
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\package-lock.json", "JSON", 13642, 0, 0, 0, 0, 0, 0, 0, 1, 13643
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\package.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\admin\admin.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\admin\admin.component.html", "HTML", 0, 0, 0, 0, 0, 70, 0, 0, 4, 74
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\admin\admin.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\admin\admin.component.ts", "TypeScript", 0, 0, 0, 221, 0, 0, 0, 0, 14, 235
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.component.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 1, 0, 4
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.component.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.module.ts", "TypeScript", 0, 0, 0, 91, 0, 0, 0, 0, 4, 95
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\art\art.component.css", "CSS", 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
