Date : 2024-03-10 15:30:33
Directory : c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main
Total : 89 files,  16843 codes, 73 comments, 421 blanks, all 17337 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     13,837 |          2 |          3 |     13,842 |
| TypeScript         |         51 |      1,894 |         53 |        251 |      2,198 |
| CSS                |         15 |        608 |          2 |        129 |        739 |
| HTML               |         15 |        440 |         15 |         24 |        479 |
| JSON with Comments |          1 |         32 |          1 |          0 |         33 |
| JavaScript         |          1 |         18 |          0 |          0 |         18 |
| Markdown           |          1 |         14 |          0 |         14 |         28 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |         89 |     16,843 |         73 |        421 |     17,337 |
| frontend                                                                                                                               |         89 |     16,843 |         73 |        421 |     17,337 |
| frontend (Files)                                                                                                                       |          8 |     13,901 |          3 |         17 |     13,921 |
| frontend\src                                                                                                                           |         81 |      2,942 |         70 |        404 |      3,416 |
| frontend\src (Files)                                                                                                                   |          5 |         60 |          2 |         28 |         90 |
| frontend\src\app                                                                                                                       |         76 |      2,882 |         68 |        376 |      3,326 |
| frontend\src\app (Files)                                                                                                               |          8 |        205 |          1 |         25 |        231 |
| frontend\src\app\admin                                                                                                                 |          4 |        308 |          0 |         24 |        332 |
| frontend\src\app\art                                                                                                                   |          4 |        198 |          0 |         19 |        217 |
| frontend\src\app\common                                                                                                                |          3 |        123 |          0 |         17 |        140 |
| frontend\src\app\common\service                                                                                                        |          3 |        123 |          0 |         17 |        140 |
| frontend\src\app\email                                                                                                                 |          6 |         56 |          0 |         14 |         70 |
| frontend\src\app\environments                                                                                                          |          1 |          4 |          0 |          0 |          4 |
| frontend\src\app\header                                                                                                                |          4 |        102 |          0 |         16 |        118 |
| frontend\src\app\home                                                                                                                  |          8 |        568 |         55 |         79 |        702 |
| frontend\src\app\login                                                                                                                 |          5 |        158 |          1 |         19 |        178 |
| frontend\src\app\register                                                                                                              |          5 |        176 |          0 |         22 |        198 |
| frontend\src\app\shop                                                                                                                  |          7 |        258 |          1 |         42 |        301 |
| frontend\src\app\shop (Files)                                                                                                          |          4 |        209 |          1 |         30 |        240 |
| frontend\src\app\shop\objects                                                                                                          |          1 |          9 |          0 |          0 |          9 |
| frontend\src\app\shop\product                                                                                                          |          2 |         40 |          0 |         12 |         52 |
| frontend\src\app\thread-create                                                                                                         |          4 |        124 |          2 |         19 |        145 |
| frontend\src\app\thread-detail                                                                                                         |          4 |        224 |          0 |         26 |        250 |
| frontend\src\app\thread-list                                                                                                           |          4 |        150 |          0 |         24 |        174 |
| frontend\src\app\user                                                                                                                  |          4 |        119 |          4 |         12 |        135 |
| frontend\src\app\youtube-dl                                                                                                            |          5 |        109 |          4 |         18 |        131 |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\.eslintrc.js                                          | JavaScript         |         18 |          0 |          0 |         18 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\README.md                                             | Markdown           |         14 |          0 |         14 |         28 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\angular.json                                          | JSON               |        118 |          0 |          0 |        118 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\package-lock.json                                     | JSON               |     13,642 |          0 |          1 |     13,643 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\package.json                                          | JSON               |         50 |          0 |          1 |         51 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\admin\admin.component.css                     | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\admin\admin.component.html                    | HTML               |         70 |          0 |          4 |         74 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\admin\admin.component.spec.ts                 | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\admin\admin.component.ts                      | TypeScript         |        221 |          0 |         14 |        235 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app-routing.module.ts                         | TypeScript         |         36 |          0 |          4 |         40 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.component.css                             | CSS                |          3 |          1 |          0 |          4 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.component.html                            | HTML               |          6 |          0 |          0 |          6 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.component.spec.ts                         | TypeScript         |         25 |          0 |          5 |         30 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.component.ts                              | TypeScript         |         15 |          0 |          2 |         17 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\app.module.ts                                 | TypeScript         |         91 |          0 |          4 |         95 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\art\art.component.css                         | CSS                |         39 |          0 |          7 |         46 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\art\art.component.html                        | HTML               |         21 |          0 |          2 |         23 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\art\art.component.spec.ts                     | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\art\art.component.ts                          | TypeScript         |        121 |          0 |          5 |        126 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\auth.guard.spec.ts                            | TypeScript         |         18 |          0 |          5 |         23 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\auth.guard.ts                                 | TypeScript         |         11 |          0 |          5 |         16 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\common\service\auth.service.ts                | TypeScript         |         21 |          0 |          3 |         24 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\common\service\forum.service.ts               | TypeScript         |         42 |          0 |          4 |         46 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\common\service\userservice.ts                 | TypeScript         |         60 |          0 |         10 |         70 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\email\email.component.css                     | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\email\email.component.html                    | HTML               |          1 |          0 |          1 |          2 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\email\email.component.spec.ts                 | TypeScript         |         18 |          0 |          6 |         24 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\email\email.component.ts                      | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\email\email.service.ts                        | TypeScript         |         19 |          0 |          2 |         21 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\email\emailRequest.ts                         | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\environments\environment.ts                   | TypeScript         |          4 |          0 |          0 |          4 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\header\header.component.css                   | CSS                |         36 |          0 |          6 |         42 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\header\header.component.html                  | HTML               |          3 |          0 |          0 |          3 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\header\header.component.spec.ts               | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\header\header.component.ts                    | TypeScript         |         46 |          0 |          5 |         51 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\canvas-toBlob.d.ts                       | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\chat.service.ts                          | TypeScript         |         62 |          2 |          9 |         73 |
| c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\hluser.ts                                | TypeScript         |          7 |          0 |          2 |          9 |
